Category,Date,Title,Source,Link,Content,Sentiment
news,2024-11-11 21:30:00,"Will ZT, Supermicro lose AI server orders? Experts say order transfer not easy",DigiTimes,https://www.digitimes.com/news/a20241112PD202/ai-server-nvidia-zt-systems-supermicro-amd-acquisition.html,"Credit: DIGITIMES Recent negative media coverage of US AI server companies ZT and Supermicro, both Nvidia clients, has raised supply chain concerns. Sources suggest that transferring AI server orders is a complex process that cannot be done overnight. Save my User ID and Password Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function, check the 'Save my User ID and Password' box in the log-in section. This will save the password on the computer you're using to access the site.",0.0003933906555175781
news,2024-11-11 16:32:00,"S&P 500 Gains and Losses Today: Index Closes Above 6,000 on Post-Election Rally",Investopedia,https://www.investopedia.com/sandp-500-gains-and-losses-today-index-closes-above-6000-post-election-rally-8743281,"Michael Bromberg is a finance editor with a decade of experience. He is an expert at elucidating complex financial topics in clear, concise language. Michael received a Bachelor of Arts in literature from the University of Wisconsin-Madison and a master's in linguistics from the Universidad de Antioquia in Medellin, Colombia. Thibaut Durand / Hans Lucas / Hans Lucas via AFP  Major U.S. equities indexes ticked higher to start the new trading week as markets further digested the results of last week's election and the latest interest-rate cut by the Federal Reserve.
  The S&P 500 added 0.1% on Monday. The Nasdaq wavered for most of the day but closed with a gain of a bit less than 0.1%, with surging cryptocurrency prices buoying shares of tech firms with ties to crypto. The Dow built on its post-election rally, jumping 0.7% to notch its first-ever close above 44,000. Bond markets were closed in observance of Veterans Day.
  Shares of pharmaceutical company Bristol-Myers Squibb (BMY) popped 10.5% higher, logging the top daily performance in the S&P 500, after competitor AbbVie (ABBV) reported that its experimental schizophrenic treatment failed to reach the desired goals in a Phase 2 trial. Bristol-Myers Squibb entered the schizophrenia treatment market through last year's acquisition of biopharma firm Karuna Therapeutics, whose drug KarXT received approval from the Food and Drug Administration in September. AbbVie shares plunged 12.6% on Monday.
  Albemarle (ALB) shares jumped 9.6%, continuing their march higher since the world's largest lithium miner released third-quarter results last week. Although Albemarle reported a net loss of $1.1 billion, the company announced a 50% reduction in capital expenditures in 2025, as well as other cost-cutting measures that include laying off around 6% of its global workforce. Analysts suggested these moves could help Albemarle navigate low lithium prices, which the company expects to persist for some time.
  Tesla (TSLA) shares surged 9%, extending a string of gains posted in the wake of last week's election. There are expectations that Elon Musk, Tesla CEO and vocal supporter of President-elect Donald Trump, will play an advisory role in the next administration, where he could advocate on issues like tariffs and tax credits. Analysts at Wedbush lifted their price target on Tesla shares by $100, saying Trump's election could be transformative for the company's automation and artificial intelligence (AI) ambitions.
  The weakest performance in the S&P 500 came from shares of Monolithic Power Systems (MPWR), which plummeted 15%. The move followed a report by market analysis firm Edgewater Research indicating that semiconductor behemoth Nvidia (NVDA) could reduce or cancel its use of Monolithic Power's voltage regulation module in its next-generation AI chips.  
  Vaccine maker Moderna (MRNA) reported a surprise third-quarter profit when it released its results last week, but the stock has been moving lower since then, dropping an additional 8.7% on Monday. Despite the strong performance in the recent quarter, analysts expressed uncertainty about future vaccine demand as well as Moderna's ability to maintain market share.
",33.81249258915583
news,2024-11-11 15:54:00,"Monolithic Power Falls Amid Risk to Nvidia Allocation, Edgewater Research Reports",GuruFocus.com,https://finance.yahoo.com/news/monolithic-power-falls-amid-risk-205430868.html,"We are experiencing some temporary issues. The market data on this page is currently delayed. Please bear with us as we address this and restore your personalized lists. Monolithic Power Systems (MPWR, Financials) shares dropped by double digits in premarket trading Monday following a report from Edgewater Research indicating potential risks to the company's allocation in Nvidia's (NVDA, Financials) Blackwell GPU line. Warning! GuruFocus has detected 6 Warning Signs with NVDA. Edgewater analysts said that Monolithic's allocation in Blackwell might be drastically limited or eliminated by performance problems with its voltage regulator modules and power management integrated circuits. Given both businesses got recent rush orders, Japanese semiconductor company Renesas and Germany's Infineon Technologies may absorb Monolithic's share; Renesas reportedly took up the B200 allocation and Infineon possibly managing the GB200. Though it might result from a product failure in Blackwell's setups, where power usage topped 700 watts, Edgewater experts indicated the source of Monolithic's power management IC problem is ""unclear."" Though Monolithic may maintain shipments for B300A (700 watts), this performance issue leaves Monolithic with ""limited or no"" allocations for B200 (1,000 watts) and GB200 (1,200 watts). The analysts also said that while Nvidia is probably looking at Monolithic's confirmed orders for next quarters, it has already canceled about half of Monolithic's backlog, therefore affecting all unverified orders. By early 2025, they stated Nvidia may raise Renesas's part of the Hopper GPU allocation to 50% from around 15% in the fourth quarter of 2024. Infineon hasn't yet qualified as a Hopper supplier however. Edgewater claims that while Monolithic's latest solutions are just short patches rather than long-term solutions, Nvidia's engineering staff has apparently turned trust toward Renesas and Infineon as main suppliers. We view this as creating a substantial downside risk for MPWR's Enterprise Data segment in 2025, the analysts concluded, stressing issues over the possible effect on Monolithic's shares, especially amid investor attention on the company's AI-related performance. This article first appeared on GuruFocus. Sign in to access your portfolio",2.2229954600334167
news,2024-11-11 14:15:00,"Nvidia and 2 Chip Stocks to Buy for the AI Chip Boom, Analyst Says",Barrons.com,https://finance.yahoo.com/m/813dccea-5ed0-30ba-95f2-ef6861bd4e7c/nvidia-and-2-chip-stocks-to.html,A Jefferies analyst says demand for AI chips will last for several years and benefit three semiconductor companies. Sign in to access your portfolio,83.61981511116028
news,2024-11-11 13:14:00,Why Monolithic Power Systems (MPWR) Stock Is Falling Today,StockStory,https://finance.yahoo.com/news/why-monolithic-power-systems-mpwr-181412945.html,"We are experiencing some temporary issues. The market data on this page is currently delayed. Please bear with us as we address this and restore your personalized lists. Shares of power management chips maker Monolithic Power Systems (NASDAQ:MPWR) fell 24.9% in the morning session after Edgewater Research analysts revealed that the company's (MPWR's) allocation to Nvidia's Blackwell line of GPUs (Graphics Processing Unit) is ""at risk."" The analysts added, ""We hear NVDA will go through their confirmed orders to MPWR for the next few quarters, but we hear NVDA has canceled half of MPWR's backlog, cutting all of their unconfirmed orders."" Edgewater Research noted that the root cause of MPWR's issue is ""unclear"" but could be related to some product issues identified earlier in the year. As a result, the analysts think the situation creates a risk to MPWR's business, especially its Enterprise data segment, given investors' high hopes for the company's AI capabilities. The stock market overreacts to news, and big price drops can present good opportunities to buy high-quality stocks. Is now the time to buy Monolithic Power Systems? Access our full analysis report here, it’s free. Monolithic Power Systems’s shares are quite volatile and have had 18 moves greater than 5% over the last year. But moves this big are rare even for Monolithic Power Systems and indicate this news significantly impacted the market’s perception of the business. The biggest move we wrote about over the last year was 9 months ago when the stock gained 17% on the news that the company reported strong fourth-quarter results and provided strong revenue guidance for the next quarter, which topped analysts' expectations. Its revenue and EPS also narrowly outperformed Wall Street's estimates during the quarter. The company also highlighted the expanded market opportunity estimated at $1 billion following the acquisition of Netherlands-based startup Axign B.V, which provides programmable multi-core digital signal processors. On the other hand, its gross margin fell, and its operating margin decreased during the quarter. Overall, this was still a strong quarter for Monolithic Power Systems. Monolithic Power Systems is up 1.1% since the beginning of the year, but at $609.14 per share, it is still trading 35.7% below its 52-week high of $947.16 from August 2024. Investors who bought $1,000 worth of Monolithic Power Systems’s shares 5 years ago would now be looking at an investment worth $3,717. When a company has more cash than it knows what to do with, buying back its own shares can make a lot of sense–as long as the price is right. Luckily, we’ve found one, a low-priced stock that is gushing free cash flow AND buying back shares. Click here to claim your Special Free Report on a fallen angel growth story that is already recovering from a setback. Sign in to access your portfolio",21.872066855430603
news,2024-11-11 13:02:00,"Nvidia, Intel, and other chip stocks are dragging down the Nasdaq even as the Dow gains",Quartz,https://qz.com/nvidia-intel-tsmc-chip-stocks-down-nasdaq-dow-sp500-1851694926,"Chip stocks dragged down the Nasdaq on Monday despite gains in the Dow Jones Industrial Average and S&P 500.  Shares of Intel (INTC-4.37%) were down by around 4.1% during midday trading, while Arm’s (SFTBY+0.43%) shares were down over 5%. Broadcom’s (AVGO-2.55%) stock was down by almost 3%, Qualcomm (QCOM-1.53%) was down by around 2.2%, and Micron (MU-2.88%) was down by around 3.5%. Nvidia’s (NVDA-1.54%) shares were down by 1.6%, while Advanced Micro Devices’ (AMD-0.37%) stock faired slightly better, being down by around 1.3%. Taiwan Semiconductor Manufacturing Company’s (TSM-3.53%) U.S.-listed shares joined other chipmakers in the decline and were down by around 4.2%. The fall follows news that the U.S. has reportedly ordered the company not to send advanced artificial intelligence chips to China anymore.  The world’s largest chipmaker was told to stop shipping advanced AI chips to Chinese customers starting Monday, Reuters reported, citing an unnamed person familiar with the matter. The U.S. Department of Commerce told the Taiwanese chipmaker in a letter that it is imposing export restrictions on advanced chips made with the 7-nanometer process or smaller, the person said. Meanwhile, the Dow Jones Industrial Average and S&P 500 saw green Monday as stocks continued a post-election rally sparked by former President Donald Trump’s victory over Vice President Kamala Harris. Bitcoin also surged on the election victory, reaching a record $84,000.  With Trump’s return to the White House, the chip war between the U.S. and China could escalate. Under Trump’s first administration, Chinese tech giant Huawei was placed on the U.S. Entity List in 2019 after the government determined it had “been involved in activities contrary to the national security or foreign policy interests of the United States.”  Other Chinese semiconductor firms have been added to the list to restrict U.S. companies from sending equipment for advanced chip manufacturing. TSMC has also reportedly told its Chinese customers it is no longer manufacturing AI chips with the advanced 7-nanometer process or beyond starting Monday, the Financial Times reported, citing unnamed people familiar with the matter.  The chipmaker reportedly made the decision to cut off Chinese firms to improve internal controls and in anticipation of updated U.S. export controls on chips sold to China by the outgoing Biden administration. TSMC is also reportedly worried about being targeted by the incoming Trump administration, which has accused Taiwan of stealing chip manufacturing from the U.S. Our free, fast, and fun briefing on the global economy, delivered every weekday morning. ",25.35530775785446
news,2024-11-11 12:04:00,"Top Stock Movers Now: Tesla, Robinhood Markets, MicroStrategy, and More",Investopedia,https://www.investopedia.com/top-stock-movers-now-tesla-robinhood-markets-microstrategy-and-more-8743051,"Bill McColl has 25+ years of experience as a senior producer and writer for TV, radio, and digital media leading teams of anchors, reporters, and editors in creating news broadcasts, covering some of the most notable news stories of the time. Omar Marques / SOPA Images / LightRocket via Getty Images  The market surge from enthusiasm over Donald Trump's victory in the U.S. election last week continued at midday, with the Dow Jones Industrial Average jumping above 44,000 for the first time. The S&P 500 also advanced, while the Nasdaq was little changed. 
  Tesla (TSLA) shares again were driven higher by the election results on expectations of a reduction in federal regulations and CEO Elon Musk's ties to the incoming administration as an adviser to the president-elect. In addition, shares got an extra boost when Wedbush raised its price target by $100, calling the Trump victory a ""gamechanger"" for the EV maker.
  With Trump having said he wants to make the U.S. ""the crypto capital of the planet,"" companies tied to cryptocurrencies soared as bitcoin traded at an all-time high. Shares of Robinhood Markets (HOOD), Coinbase Global (COIN), Riot Platforms (RIOT), and Marathon Digital parent MARA Holdings (MARA) all jumped more than 10%. Shares of MicroStrategy (MSTR) shares also soared when the largest corporate holder of bitcoin said that it had paid $2.03 billion to purchase an additional 27,200 bitcoin.
  Monolithic Power Systems (MPWR) was the worst-performing stock in the S&P 500 when Edgewater Research warned that Nvidia (NVDA) has canceled orders with the power solutions company.
  Shares of AbbVie (ABBV) plunged when the drug maker announced disappointing results in a pair of Phase 2 clinical trials of its experimental schizophrenia treatment.
  Monday.com (MNDY) shares sank after the workforce management software maker's operating loss increased and its operating margin dropped, and it made changes in management.
  Oil and gold futures fell. The U.S. dollar gained on the euro, pound, and yen. Bond markets were closed.
 TradingView",40.56177854537964
news,2024-11-11 11:33:00,Morgan Stanley Lifts Nvidia Target as Blackwell Product Sales Surge,GuruFocus.com,https://finance.yahoo.com/news/morgan-stanley-lifts-nvidia-target-163309318.html,"We are experiencing some temporary issues. The market data on this page is currently delayed. Please bear with us as we address this and restore your personalized lists. Morgan Stanley (MS, Financial) has raised its price target for Nvidia (NVDA, Financial) from $150 to $160, citing Nvidia's recent bullish performance and anticipated easing of supply-chain challenges. Morgan Stanley analysts, led by Joseph Moore, forecast that Nvidia's new Blackwell product line will significantly boost revenue in the January quarter, with expected sales in the $5-6 billion range. However, these potential gains may face some offset due to ongoing supply constraints, which could affect current quarter guidance. Warning! GuruFocus has detected 6 Warning Signs with NVDA. Additionally, Nvidia's product demand trends reveal a shift from the H100 to increased demand for the H200, aligning with Nvidia's recent pattern of raising its sales guidance by approximately $2 billion. Analysts estimate Nvidia's January quarter revenue guidance could surpass consensus at $36.5 billion. Morgan Stanley also predicts an increase in Nvidia's gross margins through FY2026, though initial Blackwell ramp-up margins are expected to be lower. Nvidia's previous gross margin guidance dropped from 75.7% in July to 75.0% in October, a conservative estimate according to Morgan Stanley. Consequently, the firm has raised its FY26 revenue and EPS estimates for Nvidia to $176.78 billion and $4.03, with 73.8% non-GAAP gross margins. While Morgan Stanley considers this earnings period transitional, it maintains Nvidia as a top buy with an Overweight rating, driven by Blackwell's projected impact on late 2025 growth. This article first appeared on GuruFocus. Sign in to access your portfolio",99.68071952462196
news,2024-11-11 09:57:00,Nvidia Rises As Analysts Get Bullish After 198% Gain With Earnings Due; Is Nvidia A Buy Now?,Investor's Business Daily,https://finance.yahoo.com/m/dc591aa5-8656-399f-a2b0-90fb4c8c329e/nvidia-rises-as-analysts-get.html,"Artificial intelligence chip leader Nvidia rose on Monday as analysts increased their price target ahead of the company's third-quarter earnings report. On Wednesday, Nvidia stock broke out again at a proper buy point of 140.76 and finished at an all-time high on Thursday. The stock held 9% in weekly gains, erasing the prior week's losses, when Nvidia finished 4.3% lower amid earnings from Magnificent Seven companies Microsoft and Meta Platforms. Sign in to access your portfolio",99.96070265769958
news,2024-11-11 09:18:00,Trumps bitcoin superpower promise may help Nvidia: Tech investor,Yahoo Finance,https://finance.yahoo.com/news/trumps-bitcoin-superpower-promise-may-help-nvidia-tech-investor-141808711.html,"We are experiencing some temporary issues. The market data on this page is currently delayed. Please bear with us as we address this and restore your personalized lists. Listen and subscribe to Opening Bid on Apple Podcasts, Spotify, or wherever you find your favorite podcasts. Digital assets such as bitcoin could be poised for greatness under Trump, with Wall Street wunderkind Nvidia (NVDA) in a good position to benefit. “I think there are a lot of ways that the government could show support for crypto over the next few months,” EMJ Capital founder Eric Jackson told Yahoo Finance executive editor Brian Sozzi on his Opening Bid podcast (video above; listen in below). “Trump’s talk about doing a strategic Bitcoin reserve is bullish as an underlying bid for that currency,” said Jackson. To that end, bitcoin topped $80,000 for the first time on Sunday as its bullish run post Election Day rages on. The price of bitcoin has rallied 15% in the past five days, according to Yahoo Finance data. While on the campaign trail, Trump did not shy away from expressing his enthusiasm for digital assets. He even promised to make the nation a crypto friendly place, forecasting the US could become the “crypto capital of the planet” at this year’s Bitcoin 2024 conference. The president-elect specifically called out a desire to make the country a bitcoin ""superpower."" Crypto will be a big topic at this year's Yahoo Finance Invest conference — register to attend here   Enter one of the original bitcoin mining plays, AI chip darling Nvidia. Jackson has been watching Nvidia and its evolution for the past seven or so years. Although Nvidia's powerful chips rose to fame in the gaming space, its products were also mission critical to the development of cryptocurrency in its early days. The company's graphics processing units (GPUs) are used to assist crypto miners due to their speed and efficiency. As the demand for crypto potentially picks up under Trump, it could fuel orders for Nvidia's latest computing chips, on top of its applications for AI and Tesla (TSLA) robots. “Bitcoin mining itself will probably make a comeback if crypto does take another leg up,” said Jackson. Jackson fancies Nvidia shares could more than double given its wide competitive advantages in chip development over rivals AMD (AMD) and Intel (INTC). It's a bullish view echoed by Jackson's peers at the likes of Bank of America. “Crypto is emerging as this alternative money class,” Jackson added. One challenge is bringing the currency to the masses in a tangible, digestible way. Jackson envisions support for the digital currency industry under the Trump administration that could include “promoting approvals for all kinds of ETFs.” ""Getting those stocks approved by the SEC is obviously going to give people a lot more choices so they don’t have to just directly invest in crypto.” However it plays out over the coming years, Jackson remains optimistic about the future of cryptocurrencies overall. “[There’s] more fun ahead,” he said. Three times each week, Yahoo Finance executive editor Brian Sozzi fields insight-filled conversations with the biggest names in business and markets on Opening Bid. Find more episodes on our video hub. Watch on your preferred streaming service. Or listen and subscribe on Apple Podcasts, Spotify, or wherever you find your favorite podcasts. Grace Williams is a writer for Yahoo Finance. Click here for the latest crypto news, updates, and more related to ethereum and bitcoin prices, crypto ETFs, and market implications for cryptocurrencies Read the latest financial and business news from Yahoo Finance Sign in to access your portfolio",98.53594839572906
