Category,Date,Title,Source,Link,Sentiment
news,2024-10-28 16:43:00,Alphabet Q3 earnings preview: AI updates in focus amid Big Tech's spending spree,Yahoo Finance,https://finance.yahoo.com/news/alphabet-q3-earnings-preview-ai-updates-in-focus-amid-big-techs-spending-spree-204342707.html,1.698
news,2024-10-28 16:21:00,Tesla Traders Look for Stock to Break Out as Wall Street Gets More Bullish,Barrons.com,https://finance.yahoo.com/m/b8c72d86-d872-3895-97b2-baab33826bfd/tesla-traders-look-for-stock.html,0.67
news,2024-10-28 16:07:00,Elon Musk Channels Warren Buffett As Tesla's Stock Booms After Strong Q3: 'Having A Publicly Traded Company Is Like...',Benzinga,https://finance.yahoo.com/news/elon-musk-channels-warren-buffett-200724608.html,2.394
news,2024-10-28 16:06:00,"So Far, Earnings Have Been So-So. Can the Mag Seven Turn Things Around?",Investopedia,https://www.investopedia.com/can-big-tech-turn-around-a-so-so-earnings-season-8735384,5
news,2024-10-28 14:48:00,Philadelphia DA sues Elon Musk for $1 million election sweepstakesindisputably unlawful,Fortune,https://finance.yahoo.com/news/philadelphia-da-sues-elon-musk-184807634.html,1.556
news,2024-10-28 12:19:00,Tesla short sellers lose more than $4 billion on EV maker's post-earnings stock rally,Yahoo Finance,https://finance.yahoo.com/news/tesla-short-sellers-lose-more-than-4-billion-on-ev-makers-post-earnings-stock-rally-161926957.html,3.066
news,2024-10-28 11:01:00,Elon Musk claims he can cut the federal budget for Trump by 'at least' $2 trillion,Quartz,https://qz.com/elon-musk-donald-trump-government-spending-budget-biden-1851682623,1.661
news,2024-10-28 08:05:00,Tesla Plans a Big Fourth Quarter as Wall Street Gets More Bullish,Barrons.com,https://finance.yahoo.com/m/b8c72d86-d872-3895-97b2-baab33826bfd/tesla-plans-a-big-fourth.html,2.071
news,2024-10-28 08:00:00,World's Richest Man Elon Musk Gets Even Richer As Tesla Stocks Soar,Benzinga,https://finance.yahoo.com/news/worlds-richest-man-elon-musk-120015515.html,5
news,2024-10-28 06:06:00,Musk's bold 2025 prediction about Tesla sales faces skepticism on Wall Street,Reuters,https://finance.yahoo.com/news/analysis-musks-bold-2025-prediction-100659032.html,5
