Category,Date,Title,Source,Link,Sentiment
news,2024-10-28 15:55:00,Trump calls a Biden chips act 'so bad.' Harris reminds voters it will help swing states.,Yahoo Finance,https://finance.yahoo.com/news/trump-calls-a-biden-chips-act-so-bad-harris-reminds-voters-it-will-help-swing-states-195526297.html,0.998
news,2024-10-28 10:57:00,TSMC stock: Assessing the Trump risk,Investing.com,https://finance.yahoo.com/news/tsmc-stock-assessing-trump-risk-145738733.html,2.389
news,2024-10-28 09:30:00,Brokers Suggest Investing in TSMC (TSM): Read This Before Placing a Bet,Zacks,https://finance.yahoo.com/news/brokers-suggest-investing-tsmc-tsm-133013910.html,3.099
news,2024-10-28 07:09:00,"GFS downgraded at Morgan Stanley on potential pricing pressure from TSMC, China",Investing.com,https://finance.yahoo.com/news/gfs-downgraded-morgan-stanley-potential-110930907.html,0.493
news,2024-10-28 06:21:00,"GlobalFoundries, UMC stocks down as Morgan Stanley downgrades on pricing woes",Investing.com,https://finance.yahoo.com/news/globalfoundries-umc-stocks-down-morgan-102118990.html,3.087
news,2024-10-27 21:46:00,TSMC sports day: What did Morris Chang and C.C. Wei say?,DigiTimes,https://www.digitimes.com/news/a20241028PD200/taiwan-tsmc-morris-chang-ceo-2024.html,3.098
news,2024-10-27 05:30:00,TSMC tech in Huawei's AI chips raises questions about 'porous' supply chain,South China Morning Post,https://finance.yahoo.com/news/tsmc-tech-huaweis-ai-chips-093000914.html,0.954
news,2024-10-26 11:02:00,"TSMC suspended shipments to China firm after chip found on Huawei processor, sources say",Reuters,https://finance.yahoo.com/news/tsmc-suspended-shipments-china-firm-150219463.html,-0.236
news,2024-10-25 16:29:00,Taiwan Semiconductor Manufacturing Company Limited (TSM) Alerts US of Possible Export Violation Involving Huaweis Advanced AI Chip,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-manufacturing-company-limited-202948850.html,2.396
news,2024-10-24 17:42:00,TSMCs Arizona Chip Production Yields Surpass Taiwans in Win for US Push,Bloomberg,https://finance.yahoo.com/news/tsmc-arizona-chip-production-yields-214250092.html,3.797
news,2024-10-24 09:49:00,Is Taiwan Semiconductor (TSM) the Best AI Stock to Buy After Latest Earnings?,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-tsm-best-ai-134916123.html,5
news,2024-10-23 14:56:00,TSMC Cuts Off Client After Discovering Chips Sent to Huawei,Bloomberg,https://finance.yahoo.com/news/tsmc-cuts-off-client-discovering-105407607.html,0.185
news,2024-10-23 09:55:00,"TSMC alerted U.S. to potential violation of China AI export controls, FT says",TipRanks,https://finance.yahoo.com/news/tsmc-alerted-u-potential-violation-135542432.html,1.632
news,2024-10-23 09:15:00,"TSMC halts supply to customer after finding its chip in Huawei product, source says",Reuters,https://finance.yahoo.com/news/tsmc-halts-chip-supply-customer-131512373.html,-0.477
news,2024-10-23 09:15:00,"TSMC halts chip supply to customer after finding it in Huawei product, source says",Reuters,https://finance.yahoo.com/news/tsmc-halts-chip-supply-customer-131512405.html,-0.477
news,2024-10-23 06:00:00,Why the AI arms race is 'on'  and doesn't need your money: Morning Brief,Yahoo Finance,https://finance.yahoo.com/news/why-the-ai-arms-race-is-on--and-doesnt-need-your-money-morning-brief-100059382.html,1.691
news,2024-10-22 18:22:00,Taiwan Semiconductor Manufacturing Company Limited (TSM): A Bull Case Theory,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-manufacturing-company-limited-222213714.html,5
news,2024-10-22 12:37:00,Huawei Technologies Latest AI Chips Were Produced by TSMC,Bloomberg,https://finance.yahoo.com/news/huawei-technologies-latest-ai-chips-163712898.html,0.916
news,2024-10-22 11:24:00,"Exclusive-TSMC told US of chip in Huawei product after TechInsights finding, source says",Reuters,https://finance.yahoo.com/news/exclusive-tsmc-told-us-chip-152440258.html,0.945
news,2024-10-22 09:19:00,TSMC says it has alerted US of potential China AI chip curbs violation,Reuters,https://finance.yahoo.com/news/tsmc-says-alerted-us-potential-131939397.html,0.382
news,2024-10-22 09:00:00,Is Trending Stock Taiwan Semiconductor Manufacturing Company Ltd. (TSM) a Buy Now?,Zacks,https://finance.yahoo.com/news/trending-stock-taiwan-semiconductor-manufacturing-130017479.html,3.099
news,2024-10-22 02:29:00,Philippines Chip Industry Wants Help From Taiwans TSMC,Bloomberg,https://finance.yahoo.com/news/philippines-chip-industry-wants-help-062946725.html,0.962
news,2024-10-21 17:13:00,"NVIDIA stock surges 4% Monday, tapping another all-time high",Investing.com,https://finance.yahoo.com/news/nvidia-stock-surges-4-monday-211342479.html,3.041
news,2024-10-21 15:04:00,Nvidia stock soars to fresh record as Wall Street stays bullish ahead of earnings,Yahoo Finance,https://finance.yahoo.com/news/nvidia-stock-soars-to-fresh-record-as-wall-street-stays-bullish-ahead-of-earnings-190404027.html,5
news,2024-10-21 15:04:00,Nvidia stock rises to intraday record high as Wall Street stays bullish ahead of earnings,Yahoo Finance,https://finance.yahoo.com/news/nvidia-stock-rises-to-intraday-record-high-as-wall-street-stays-bullish-ahead-of-earnings-190404863.html,5
news,2024-10-20 19:00:00,Taiwan Signals Openness to Nuclear Power Amid Surging AI Demand,Bloomberg,https://finance.yahoo.com/news/taiwan-signals-openness-nuclear-power-230000438.html,3.798
news,2024-10-20 18:07:00,Jim Cramer on Taiwan Semiconductor Manufacturing Company Limited (TSM): This Company Is The Biggest And The Best',Insider Monkey,https://www.insidermonkey.com/blog/jim-cramer-on-taiwan-semiconductor-manufacturing-company-limited-tsm-this-company-is-the-biggest-and-the-best-1377662/,3.098
news,2024-10-20 13:55:00,Taiwan Semiconductor Manufacturing Company (TSM): Among the Most Profitable Stocks of the Last 10 Years,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-manufacturing-company-tsm-175558382.html,4.499
news,2024-10-20 08:00:00,ASML Shows Chasm in Chip Land: AI Winners Versus Everyone Else,Bloomberg,https://finance.yahoo.com/news/asml-shows-chasm-chip-land-120001187.html,5
news,2024-10-20 00:45:00,Taiwan Semiconductor Manufacturing Company Limited (TSM): Among the Most Owned Stocks by Hedge Funds Right Now,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-manufacturing-company-limited-044514576.html,5
news,2024-10-19 21:24:00,Taiwan Semiconductor Manufacturing Company Limited (TSM): Hedge Funds Are Bullish On This Promising Tech Stock Right Now,Insider Monkey,https://www.insidermonkey.com/blog/taiwan-semiconductor-manufacturing-company-limited-tsm-hedge-funds-are-bullish-on-this-promising-tech-stock-right-now-1377084/,5
news,2024-10-19 20:03:00,Is Taiwan Semiconductor Manufacturing Company Limited (TSM) the Stock With the Lowest Short Interest to Buy?,Insider Monkey,https://www.insidermonkey.com/blog/is-taiwan-semiconductor-manufacturing-company-limited-tsm-the-stock-with-the-lowest-short-interest-to-buy-1377057/,5
news,2024-10-19 14:58:00,Taiwan Semiconductor Manufacturing Company Limited (TSM) Poised for 40% Q3 Profit Surge Amid AI Boom; Major Clients Fuel Growth and Global Expansion,Insider Monkey,https://www.insidermonkey.com/blog/taiwan-semiconductor-manufacturing-company-limited-tsm-poised-for-40-q3-profit-surge-amid-ai-boom-major-clients-fuel-growth-and-global-expansion-1376894/,5
news,2024-10-19 09:15:00,"Nvidia to win the race to $4 trillion market cap, experts say",Yahoo Finance,https://finance.yahoo.com/news/nvidia-to-win-the-race-to-4-trillion-market-cap-experts-say-131512935.html,3.096
news,2024-10-18 18:34:00,"Microsoft Stock Removed From Top Pick List. Plus, Airbnb, Snowflake, and More.",Barrons.com,https://finance.yahoo.com/m/8671fdf4-5e4f-326c-a32b-fde1d19346b9/microsoft-stock-removed-from.html,0.0
news,2024-10-18 12:30:00,Taiwan Semi to generate $110 billion in 2025 revenue: Needham,Investing.com,https://finance.yahoo.com/news/taiwan-semi-generate-110-billion-163030478.html,5
news,2024-10-18 12:00:00,TSMC (TSM) Is Up 5.33% in One Week: What You Should Know,Zacks,https://finance.yahoo.com/news/tsmc-tsm-5-33-one-160011085.html,3.099
news,2024-10-18 09:45:00,Is Taiwan Semiconductor Manufacturing Company Limited (TSM) A Good Stock to Buy Right Now?,Insider Monkey,https://finance.yahoo.com/news/taiwan-semiconductor-manufacturing-company-limited-134535734.html,4.487
news,2024-10-18 08:05:00,5 Things to Know Before the Stock Market Opens,Investopedia,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-october-18-2024-8730264,5
news,2024-10-18 07:32:00,TSMC says it will take prompt action to ensure compliance after reported U.S. probe into possible work with Huawei,Fortune,https://finance.yahoo.com/news/tsmc-says-prompt-action-ensure-113227813.html,0.744
news,2024-10-18 06:27:00,TSMCs Q3 2024 Financial Surge Highlights Semiconductor Strength,TipRanks,https://finance.yahoo.com/news/tsmc-q3-2024-financial-surge-102714393.html,3.06
news,2024-10-17 22:28:00,TSMC stock hits new high after forecast-beating earnings,Reuters,https://finance.yahoo.com/news/tsmc-stock-hits-high-posting-022807882.html,3.753
news,2024-10-17 17:27:00,Nvidia Stock Hits Intraday Record After TSMCs Solid Earnings,Barrons.com,https://finance.yahoo.com/m/a5bbea17-10ee-3224-bf5b-3c6516982e93/nvidia-stock-hits-intraday.html,1.227
news,2024-10-17 17:10:00,S&P 500 Gains and Losses Today: Health Insurers Slide as Elevance Cites Medicaid Declines,Investopedia,https://www.investopedia.com/s-and-p-500-gains-and-losses-today-8729741,3.087
