Category,Date,Title,Source,Link,Sentiment
news,11:00PM,Waaree Debut Powers Rally in Indian Renewable Stocks,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-29/india-market-buzz-nifty-rebound-has-a-few-hurdles-to-clear,0.884
news,09:51PM,GLP Pulls Dollar Bond Sale With Record Double-Digit Coupon,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-29/glp-pulls-dollar-bond-sale-with-record-double-digit-coupon,0.884
news,09:50PM,"Asian Shares Rise Amid US Election, Earnings Focus: Markets Wrap",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/stock-market-today-dow-s-p-live-updates,0.884
news,09:22PM,Stock futures are little changed as Wall Street braces for Big Tech earnings,www.cnbc.com,https://www.cnbc.com/2024/10/28/stock-market-today-live-updates.html,1.0
news,08:38PM,Nippon Paint Shares Jump Most in 24 Years on $2.3 Billion Deal,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-29/nippon-paint-shares-jump,0.884
news,08:34PM,Gold Steadies With Focus on Key US Data and Election Endgame,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-29/gold-steadies-with-focus-on-key-us-data-and-election-endgame,0.884
news,08:08PM,Can AI make life easier for people with dementia?,www.bbc.com,https://www.bbc.com/news/articles/cqxj700pxpdo,0.999
news,08:05PM,"Budget: 'I earn £1,800 a month and have nothing left at the end'",www.bbc.com,https://www.bbc.com/news/articles/cwyv8y68e25o,0.999
news,07:49PM,Gold continues to push higher: Adam Kobeissi,video.foxbusiness.com,https://video.foxbusiness.com/v/6363560732112,0.586
news,07:42PM,"Bitcoin Tops $70,000 for First Time Since June as Election Nears",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/bitcoin-btc-tops-70-000-for-first-time-since-june-as-election-nears,0.884
news,07:29PM,"Oil Steadies After 6% Drop With Focus on Mideast Risk, US Data",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/latest-oil-market-news-and-analysis-for-october-29,0.884
news,07:07PM,"Chinese IPOs in the U.S. and Hong Kong are set to increase next year, analysts say",www.cnbc.com,https://www.cnbc.com/2024/10/29/chinese-ipos-in-the-us-hong-kong-to-rise-next-year-analysts-say.html,1.0
news,07:00PM,"Taiwan Moves to Buy 1,000 AeroVironment, Anduril Attack Drones",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/taiwan-moves-to-buy-1-000-aerovironment-anduril-attack-drones,0.884
news,07:00PM,Indian Small-Caps Run Risk of Extended Selloff as Earnings Slow,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/indian-small-caps-run-risk-of-extended-selloff-as-earnings-slow,0.884
news,06:59PM,Alphabet earnings preview: AI updates amid Big Tech spending spree,finance.yahoo.com,https://finance.yahoo.com/news/alphabet-q3-earnings-preview-ai-updates-in-focus-amid-big-techs-spending-spree-204342707.html,0.998
news,06:00PM,Embattled Yen Is Still One to Beat as Ultimate US Election Haven,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/embattled-yen-emerges-victorious-as-ultimate-us-election-haven,0.884
news,04:40PM,Dow leads stock climb to kick off huge week,finance.yahoo.com,https://finance.yahoo.com/news/live/stock-market-today-dow-leads-stock-climb-ahead-of-big-tech-earnings-crucial-data-200100377.html,0.998
news,04:39PM,Jamie Dimon slams US regulators: 'It's time to fight back',finance.yahoo.com,https://finance.yahoo.com/news/jamie-dimon-slams-us-regulators-its-time-to-fight-back-173946837.html,0.961
news,04:38PM,DJT stock skyrockets after Trump's inflammatory MSG rally,finance.yahoo.com,https://finance.yahoo.com/news/djt-stock-skyrockets-following-donald-trumps-inflammatory-msg-rally-as-election-looms-163305786.html,0.966
news,04:33PM,"Ford stock falls despite Q3 sales beat, as it guides to lower end of 2024 profit forecast",finance.yahoo.com,https://finance.yahoo.com/news/ford-stock-falls-despite-q3-sales-beat-as-it-guides-to-lower-end-of-2024-profit-forecast-202614405.html,0.991
news,04:27PM,Commercial Real Estate CEO:  NYC is ahead of most gateway cities,www.foxbusiness.com,https://www.foxbusiness.com/video/6363885546112,0.542
news,04:27PM,Trump transition co-chair Howard Lutnick says Wall Street leaders support Trump,www.foxbusiness.com,https://www.foxbusiness.com/video/6363882533112,0.735
news,04:27PM,El Salvador is achieving the American dream through Bitcoin: Max Keiser,www.foxbusiness.com,https://www.foxbusiness.com/video/6363887098112,0.542
news,04:23PM,Former Trump Energy Head Steps Down From Utility Trade Group,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/former-trump-energy-head-steps-down-from-utility-trade-group,0.884
news,04:18PM,Goldman Sees Another Overnight Lending Rate Spike on Record Treasury Deluge,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/goldman-sachs-sees-another-sofr-spike-on-record-treasury-deluge,0.884
news,03:57PM,Deficit spending is not a partisan deal anymore: Jurrien Timmer,www.foxbusiness.com,https://www.foxbusiness.com/video/6363886197112,0.542
news,03:53PM,Citrix Parent Aims to Revise Second Loan in Market’s Record Year,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/citrix-parent-aims-to-revise-second-loan-in-market-s-record-year,0.884
news,03:45PM,Nigeria’s Naira Falls to Record Low After Dollar Liquidity Plunges 72%,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/naira-falls-to-record-low-after-dollar-liquidity-plunges-72,0.884
news,03:36PM,Infant care costs at least 10% of a family's annual income in nearly all states,foxbusiness.com,https://foxbusiness.com/economy/infant-care-costs-least-10-family-annual-income-nearly-all-states,0.998
news,03:26PM,US stock market is at the begining of a true melt-up: Kip Herriage,www.foxbusiness.com,https://www.foxbusiness.com/video/6363884348112,0.542
news,03:20PM,"Cargill, Bunge Slow Soybean Buying on Stalled US Biofuels Policy",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/cargill-bunge-slow-soybean-buying-on-stalled-us-biofuels-policy,0.884
news,03:00PM,US Treasury Trims Borrowing Estimate to $546 Billion for Quarter,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/us-treasury-trims-borrowing-estimate-to-546-billion-for-quarter,0.884
news,02:17PM,Treasury Yields Resume Climb After Auctions Stir Supply Anxiety,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/treasury-yields-resume-climb-after-auctions-stir-supply-anxiety,0.884
news,02:06PM,"Philips stock sinks 16% on lower full-year guidance, China drags on earnings",finance.yahoo.com,https://finance.yahoo.com/news/philips-stock-sinks-16-on-lower-full-year-guidance-china-drags-on-earnings-180539660.html,0.995
news,01:50PM,Stocks climb to kick off the busiest week of the quarter,finance.yahoo.com,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-rise-to-kick-off-busy-week-of-key-data-big-tech-earnings-133028159.html,0.888
news,01:48PM,Oil’s Big Bullish Options Bets Turn Worthless as Iran Risk Fades,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/oil-s-big-bullish-options-bets-turn-worthless-as-iran-risk-fades,0.884
news,01:32PM,JPMorgan begins suing customers who allegedly stole thousands of dollars in 'infinite money glitch',www.cnbc.com,https://www.cnbc.com/2024/10/28/jpmorgan-suing-customers-over-infinite-money-glitch.html,0.999
news,01:31PM,"What is a 'working person,' according to Labour",www.bbc.com,https://www.bbc.com/news/articles/cwyg44lwjydo,0.981
news,01:07PM,Bret Taylor’s AI startup Sierra raises funding at $4.5 billion valuation,www.cnbc.com,https://www.cnbc.com/2024/10/28/bret-taylors-ai-startup-sierra-valued-at-4point5-billion-in-funding.html,1.0
news,01:05PM,New Mexico is fueling America's domestic oil production and marking milestones,www.foxbusiness.com,https://www.foxbusiness.com/video/6363880964112,0.743
news,12:44PM,"Estée Lauder Will Tap Longtime Executive as CEO, WSJ Says",www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/estee-lauder-will-tap-longtime-executive-as-next-ceo-wsj-says,0.884
news,12:44PM,Apple Intelligence is finally here. Here's what it's like.,finance.yahoo.com,https://finance.yahoo.com/news/apple-intelligence-review-apples-first-set-of-ai-features-wont-set-the-world-on-fire-but-its-a-start-161017933.html,1.0
news,12:43PM,What Trump promised in 2016 on tariffs — and what he delivered,finance.yahoo.com,https://finance.yahoo.com/news/what-trump-promised-in-2016-on-tariffs-and-what-he-delivered-a-lot-080036529.html,0.998
news,12:27PM,Cut or pause? 2 key reports will influence what Fed does next.,finance.yahoo.com,https://finance.yahoo.com/news/cut-or-pause-2-critical-reports-will-determine-what-fed-does-in-november-090014786.html,0.899
news,12:23PM,US tech stocks are in the early days of a data center gold rush: Kyle Wool,www.foxbusiness.com,https://www.foxbusiness.com/video/6363878599112,0.542
news,12:20PM,Tesla short sellers lose more than $4 billion on EV-maker's post-earnings stock rally,finance.yahoo.com,https://finance.yahoo.com/news/tesla-short-sellers-lose-more-than-4-billion-on-ev-makers-post-earnings-stock-rally-161926957.html,0.966
news,12:11PM,Aeromexico Starts $1.1 Billion Offering to Refinance 2027 Notes,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/aeromexico-starts-1-1-billion-offering-to-refinance-2027-notes,0.884
news,12:08PM,Northvolt’s Rescue Funding Round On Track to Close Next Week,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/northvolt-s-rescue-funding-round-on-track-to-close-next-week,0.884
news,11:53AM,Stuart Varney: Voters are not feeling this 'glorious' economy,www.foxbusiness.com,https://www.foxbusiness.com/video/6363874470112,0.112
news,11:43AM,Stocks Rise as Traders Map Out Election Game Plan: Markets Wrap,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-27/yen-drops-as-japan-election-unnerves-investors-markets-wrap,0.884
news,11:42AM,Hurricanes and Florida’s Messy Insurance Market,www.bloomberg.com,https://www.bloomberg.com/news/articles/2024-10-28/hurricanes-and-florida-s-messy-insurance-market,0.884
